fecha,texto,emocion_real,emocion_predicha,score
2025-09-04,Me da rabia lo que están haciendo con Culiacán #CuliacánSinaloa,ira,ira,0.7467095255851746
2025-09-04,Preocupado por la situación en Culiacán 😰 #Culiacán,miedo,tristeza,0.8718172311782837
2025-09-04,"Excelente ambiente en Culiacán hoy, todo tranquilo 😊 #CuliacánSinaloa",alegria,alegria,0.837165355682373
2025-09-04,"Situación tensa en Culiacán Sinaloa, cuidado #CuliacánSinaloa",miedo,neutral,0.8995873332023621
2025-09-04,¿Alguien más nervioso por Culiacán? 😨 #Culiacán,miedo,neutral,0.4913856089115143
2025-09-04,Preocupado por la situación en Culiacán 😰 #CuliacánSinaloa,miedo,tristeza,0.8432126045227051
2025-09-04,¡Ya basta! Culiacán merece mejor 😡 #Culiacán,ira,ira,0.7734032273292542
2025-09-04,Días oscuros para Culiacán Sinaloa 🖤 #Culiacán,tristeza,neutral,0.9123952984809875
2025-09-04,Qué orgullo ser de Culiacán Sinaloa 💪❤️ #CuliacánSinaloa,alegria,alegria,0.991804838180542
2025-09-04,¡Qué! ¿Eso en Culiacán? No lo esperaba 🙏,sorpresa,sorpresa,0.9461425542831421
2025-09-04,¿Alguien más nervioso por Culiacán? 😨 🙏,miedo,neutral,0.410197377204895
2025-09-04,Me duele ver lo que pasa en Culiacán últimamente 💔 🙏,tristeza,tristeza,0.9959657192230225
2025-09-04,¡Qué! ¿Eso en Culiacán? No lo esperaba 🙏,sorpresa,sorpresa,0.9461425542831421
2025-09-04,Preocupado por la situación en Culiacán 😰,miedo,tristeza,0.8982906341552734
2025-09-04,"No puede ser posible lo que pasa en Culiacán, ¡ya! 🙏",ira,tristeza,0.3551027476787567
2025-09-04,Qué coraje la situación en Culiacán Sinaloa 😤 🙏,ira,tristeza,0.2945966422557831
2025-09-04,"Excelente ambiente en Culiacán hoy, todo tranquilo 😊 🙏",alegria,alegria,0.7557156682014465
2025-09-04,Impresionante lo de Culiacán Sinaloa 😮 🙏,sorpresa,sorpresa,0.9315819144248962
2025-09-04,¡Ya basta! Culiacán merece mejor 😡 🙏,ira,neutral,0.411308616399765
2025-09-04,Tengo miedo de salir en Culiacán últimamente 🙏,miedo,miedo,0.9624802470207214
2025-09-04,Qué coraje la situación en Culiacán Sinaloa 😤 🙏,ira,tristeza,0.2945966422557831
2025-09-04,Tengo miedo de salir en Culiacán últimamente #Culiacán,miedo,miedo,0.966340959072113
2025-09-04,Me da miedo pensar en el futuro de Culiacán 😔 #Culiacán,miedo,tristeza,0.7841812372207642
2025-09-04,Preocupado por la situación en Culiacán 😰 #Culiacán,miedo,tristeza,0.8718172311782837
2025-09-04,"Me encanta vivir en Culiacán, gran ciudad 🏙️✨ 🙏",alegria,alegria,0.98817378282547
2025-09-04,"Otro día difícil en Culiacán, extraño la paz 😢 🙏",tristeza,tristeza,0.9954237341880798
2025-09-04,"Situación tensa en Culiacán Sinaloa, cuidado #Culiacán",miedo,neutral,0.8914746642112732
2025-09-04,¿Alguien más nervioso por Culiacán? 😨 #Culiacán,miedo,neutral,0.4913856089115143
2025-09-04,Estoy harto de la inseguridad en Culiacán! 🙏,ira,ira,0.8670000433921814
2025-09-04,Preocupado por la situación en Culiacán 😰 #Culiacán,miedo,tristeza,0.8718172311782837
2025-09-04,Tengo miedo de salir en Culiacán últimamente,miedo,miedo,0.9643809795379639
2025-09-04,Me da miedo pensar en el futuro de Culiacán 😔,miedo,tristeza,0.8605189323425293
2025-09-04,"Culiacán ya no es como antes, qué nostalgia",tristeza,tristeza,0.9931923747062683
2025-09-04,"No puede ser posible lo que pasa en Culiacán, ¡ya! 🙏",ira,tristeza,0.3551027476787567
2025-09-04,"Me encanta vivir en Culiacán, gran ciudad 🏙️✨ 🙏",alegria,alegria,0.98817378282547
