fecha,alegria,tristeza,ira,miedo,sorpresa,neutral,n_total,pct_alegria,pct_tristeza,pct_ira,pct_miedo,pct_sorpresa,pct_neutral,ganador_del_dia,intensidad
2025-09-04,14,14,3,2,12,5,50,28.0,28.0,6.0,4.0,24.0,10.0,alegria,28.0
2025-09-05,12,14,7,4,6,7,50,24.0,28.0,14.0,8.0,12.0,14.0,tristeza,28.0
2025-09-06,13,12,2,2,12,9,50,26.0,24.0,4.0,4.0,24.0,18.0,alegria,26.0
2025-09-07,11,20,3,3,4,9,50,22.0,40.0,6.0,6.0,8.0,18.0,tristeza,40.0
2025-09-08,10,21,2,5,4,8,50,20.0,42.0,4.0,10.0,8.0,16.0,tristeza,42.0
2025-09-09,10,16,10,1,7,6,50,20.0,32.0,20.0,2.0,14.0,12.0,tristeza,32.0
2025-09-10,14,16,1,6,6,7,50,28.0,32.0,2.0,12.0,12.0,14.0,tristeza,32.0
2025-09-11,14,15,5,4,6,6,50,28.0,30.0,10.0,8.0,12.0,12.0,tristeza,30.0
2025-09-12,12,19,5,5,4,5,50,24.0,38.0,10.0,10.0,8.0,10.0,tristeza,38.0
2025-09-13,13,16,3,2,9,7,50,26.0,32.0,6.0,4.0,18.0,14.0,tristeza,32.0
2025-09-14,15,12,2,4,7,10,50,30.0,24.0,4.0,8.0,14.0,20.0,alegria,30.0
2025-09-15,8,11,3,7,8,13,50,16.0,22.0,6.0,14.0,16.0,26.0,tristeza,22.0
2025-09-16,8,20,4,3,7,8,50,16.0,40.0,8.0,6.0,14.0,16.0,tristeza,40.0
2025-09-17,7,24,2,2,5,10,50,14.0,48.0,4.0,4.0,10.0,20.0,tristeza,48.0
2025-09-18,8,15,4,2,12,9,50,16.0,30.0,8.0,4.0,24.0,18.0,tristeza,30.0
2025-09-19,11,15,4,5,6,9,50,22.0,30.0,8.0,10.0,12.0,18.0,tristeza,30.0
2025-09-20,9,16,2,3,7,13,50,18.0,32.0,4.0,6.0,14.0,26.0,tristeza,32.0
2025-09-21,10,15,4,2,9,10,50,20.0,30.0,8.0,4.0,18.0,20.0,tristeza,30.0
2025-09-22,5,14,6,6,10,9,50,10.0,28.0,12.0,12.0,20.0,18.0,tristeza,28.0
2025-09-23,7,19,2,4,6,12,50,14.0,38.0,4.0,8.0,12.0,24.0,tristeza,38.0
2025-09-24,17,16,1,2,5,9,50,34.0,32.0,2.0,4.0,10.0,18.0,alegria,34.0
2025-09-25,9,10,6,5,11,9,50,18.0,20.0,12.0,10.0,22.0,18.0,sorpresa,22.0
2025-09-26,9,23,3,4,6,5,50,18.0,46.0,6.0,8.0,12.0,10.0,tristeza,46.0
2025-09-27,10,16,6,2,9,7,50,20.0,32.0,12.0,4.0,18.0,14.0,tristeza,32.0
2025-09-28,10,14,4,6,10,6,50,20.0,28.0,8.0,12.0,20.0,12.0,tristeza,28.0
2025-09-29,13,11,5,6,10,5,50,26.0,22.0,10.0,12.0,20.0,10.0,alegria,26.0
2025-09-30,13,13,5,3,9,7,50,26.0,26.0,10.0,6.0,18.0,14.0,alegria,26.0
2025-10-01,8,24,4,4,7,3,50,16.0,48.0,8.0,8.0,14.0,6.0,tristeza,48.0
2025-10-02,15,14,4,2,6,9,50,30.0,28.0,8.0,4.0,12.0,18.0,alegria,30.0
2025-10-03,11,14,2,4,6,13,50,22.0,28.0,4.0,8.0,12.0,26.0,tristeza,28.0
